metric,district,school,year,behavior,count,rate,share,enrollment,status_flag
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2023-24,Assault,8.0,3.69,0.5714,217.0,
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2023-24,Drugs and Alcohol,0.0,0.0,0.0,217.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2023-24,Endangering Behavior,4.0,1.84,0.2857,217.0,
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2023-24,Weapon Related,2.0,0.92,0.1429,217.0,
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2023-24,Other Violation of School Rules,0.0,0.0,0.0,217.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2024-25,All incidents,9.0,4.74,,190.0,
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2024-25,Assault,8.0,4.21,0.8889,190.0,
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2024-25,Drugs and Alcohol,0.0,0.0,0.0,190.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2024-25,Endangering Behavior,0.0,0.0,0.0,190.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2024-25,Weapon Related,0.0,0.0,0.0,190.0,None reported
discipline_incidents,Carmen High School of Science and Technology,Stellar Collegiate Charter School,2024-25,Other Violation of School Rules,1.0,0.53,0.1111,190.0,
discipline_incidents,Carmen Middle School South,Carmen Middle School South,2021-22,All incidents,25.0,14.37,,174.0,
discipline_incidents,Carmen Middle School South,Carmen Middle School South,2021-22,Assault,0.0,0.0,0.0,174.0,None reported
discipline_incidents,Carmen Middle School South,Carmen Middle School South,2021-22,Drugs and Alcohol,1.0,0.57,0.04,174.0,
discipline_incidents,Carmen Middle School South,Carmen Middle School South,2021-22,Endangering Behavior,24.0,13.79,0.96,174.0,
discipline_incidents,Carmen Middle School South,Carmen Middle School South,2021-22,Weapon Related,0.0,0.0,0.0,174.0,None reported
discipline_incidents,Carmen Middle School South,Carmen Middle School South,2021-22,Other Violation of School Rules,0.0,0.0,0.0,174.0,None reported
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2018-19,All incidents,38.0,9.22,,412.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2018-19,Assault,3.0,0.73,0.0789,412.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2018-19,Drugs and Alcohol,0.0,0.0,0.0,412.0,None reported
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2018-19,Endangering Behavior,7.0,1.7,0.1842,412.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2018-19,Weapon Related,0.0,0.0,0.0,412.0,None reported
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2018-19,Other Violation of School Rules,28.0,6.8,0.7368,412.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2019-20,All incidents,69.0,14.56,,474.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2019-20,Assault,3.0,0.63,0.0435,474.0,
