metric,dimension,group,district,school,year,value,count,status_flag
chronic_absenteeism,Disability Status,SwD,Fox Point J2,Bayside Middle,2019-20,8.6,35.0,
chronic_absenteeism,Disability Status,SwoD,Fox Point J2,Bayside Middle,2019-20,6.2,321.0,
chronic_absenteeism,Disability Status,SwD,Fox Point J2,Bayside Middle,2020-21,2.4,41.0,
chronic_absenteeism,Disability Status,SwoD,Fox Point J2,Bayside Middle,2020-21,1.2,328.0,
chronic_absenteeism,Disability Status,SwD,Fox Point J2,Bayside Middle,2021-22,4.4,45.0,
chronic_absenteeism,Disability Status,SwoD,Fox Point J2,Bayside Middle,2021-22,3.4,319.0,
chronic_absenteeism,Disability Status,SwD,Fox Point J2,Bayside Middle,2022-23,8.1,37.0,
chronic_absenteeism,Disability Status,SwoD,Fox Point J2,Bayside Middle,2022-23,6.2,306.0,
chronic_absenteeism,Disability Status,SwD,Fox Point J2,Bayside Middle,2023-24,19.6,46.0,
chronic_absenteeism,Disability Status,SwoD,Fox Point J2,Bayside Middle,2023-24,4.7,296.0,
chronic_absenteeism,Disability Status,SwD,Fox Point J2,Bayside Middle,2024-25,13.6,44.0,
chronic_absenteeism,Disability Status,SwoD,Fox Point J2,Bayside Middle,2024-25,3.4,296.0,
chronic_absenteeism,Disability Status,SwD,Fox Point J2,Stormonth Elementary,2018-19,5.3,38.0,
chronic_absenteeism,Disability Status,SwoD,Fox Point J2,Stormonth Elementary,2018-19,3.5,340.0,
chronic_absenteeism,Disability Status,SwD,Fox Point J2,Stormonth Elementary,2019-20,,12.0,Group under 20 students — rate omitted
chronic_absenteeism,Disability Status,SwoD,Fox Point J2,Stormonth Elementary,2019-20,4.3,375.0,
chronic_absenteeism,Disability Status,SwD,Fox Point J2,Stormonth Elementary,2020-21,0.0,47.0,
chronic_absenteeism,Disability Status,SwoD,Fox Point J2,Stormonth Elementary,2020-21,0.6,349.0,
chronic_absenteeism,Disability Status,SwD,Fox Point J2,Stormonth Elementary,2021-22,14.6,48.0,
chronic_absenteeism,Disability Status,SwoD,Fox Point J2,Stormonth Elementary,2021-22,3.8,365.0,
chronic_absenteeism,Disability Status,SwD,Fox Point J2,Stormonth Elementary,2022-23,9.4,53.0,
chronic_absenteeism,Disability Status,SwoD,Fox Point J2,Stormonth Elementary,2022-23,8.4,368.0,
chronic_absenteeism,Disability Status,SwD,Fox Point J2,Stormonth Elementary,2023-24,4.2,48.0,
chronic_absenteeism,Disability Status,SwoD,Fox Point J2,Stormonth Elementary,2023-24,6.3,381.0,
chronic_absenteeism,Disability Status,SwD,Fox Point J2,Stormonth Elementary,2024-25,7.0,43.0,
chronic_absenteeism,Disability Status,SwoD,Fox Point J2,Stormonth Elementary,2024-25,4.2,379.0,
chronic_absenteeism,Disability Status,SwD,Franklin Public,Ben Franklin Elementary,2018-19,8.3,48.0,
chronic_absenteeism,Disability Status,SwoD,Franklin Public,Ben Franklin Elementary,2018-19,2.2,312.0,
chronic_absenteeism,Disability Status,SwD,Franklin Public,Ben Franklin Elementary,2019-20,8.6,35.0,
chronic_absenteeism,Disability Status,SwoD,Franklin Public,Ben Franklin Elementary,2019-20,3.5,260.0,
chronic_absenteeism,Disability Status,SwD,Franklin Public,Ben Franklin Elementary,2020-21,8.3,36.0,
chronic_absenteeism,Disability Status,SwoD,Franklin Public,Ben Franklin Elementary,2020-21,1.6,245.0,
chronic_absenteeism,Disability Status,SwD,Franklin Public,Ben Franklin Elementary,2021-22,7.3,41.0,
chronic_absenteeism,Disability Status,SwoD,Franklin Public,Ben Franklin Elementary,2021-22,3.8,240.0,
chronic_absenteeism,Disability Status,SwD,Franklin Public,Ben Franklin Elementary,2022-23,13.5,37.0,
chronic_absenteeism,Disability Status,SwoD,Franklin Public,Ben Franklin Elementary,2022-23,8.6,256.0,
chronic_absenteeism,Disability Status,SwD,Franklin Public,Ben Franklin Elementary,2023-24,12.8,39.0,
chronic_absenteeism,Disability Status,SwoD,Franklin Public,Ben Franklin Elementary,2023-24,5.8,242.0,
chronic_absenteeism,Disability Status,SwD,Franklin Public,Ben Franklin Elementary,2024-25,21.9,32.0,
chronic_absenteeism,Disability Status,SwoD,Franklin Public,Ben Franklin Elementary,2024-25,3.7,243.0,
chronic_absenteeism,Disability Status,SwD,Franklin Public,Country Dale Elementary,2018-19,15.9,44.0,
chronic_absenteeism,Disability Status,SwoD,Franklin Public,Country Dale Elementary,2018-19,3.2,469.0,
chronic_absenteeism,Disability Status,SwD,Franklin Public,Country Dale Elementary,2019-20,5.9,34.0,
chronic_absenteeism,Disability Status,SwoD,Franklin Public,Country Dale Elementary,2019-20,4.1,388.0,
