district,school,city,is_city
United Community Center,United Community Center Acosta Middle School,Milwaukee (inferred),True
United Community Center Acosta Middle,United Community Center Acosta Middle School,Milwaukee,True
Wauwatosa,East High,Wauwatosa,False
Wauwatosa,Eisenhower Elementary,Wauwatosa,False
Wauwatosa,Jefferson Elementary,Wauwatosa,False
Wauwatosa,Lincoln Elementary,Wauwatosa,False
Wauwatosa,Longfellow Middle,Wauwatosa,False
Wauwatosa,Madison Elementary,Wauwatosa,False
Wauwatosa,McKinley Elementary,Wauwatosa,False
Wauwatosa,Roosevelt Elementary,Wauwatosa,False
Wauwatosa,Underwood Elementary,Wauwatosa,False
Wauwatosa,Vel R Phillips School,Wauwatosa,False
Wauwatosa,Washington Elementary,Wauwatosa,False
Wauwatosa,Wauwatosa Montessori School,Wauwatosa,False
Wauwatosa,Wauwatosa STEM,Wauwatosa,False
Wauwatosa,Wauwatosa Virtual Academy,Wauwatosa,False
Wauwatosa,West High,Wauwatosa,False
Wauwatosa,Whitman Middle,Wauwatosa,False
Wauwatosa,Wilson Elementary,Wauwatosa,False
West Allis-West Milwaukee,Central High,West Allis,False
West Allis-West Milwaukee,Deeper Learning Virtual Academy,West Allis,False
West Allis-West Milwaukee,Frank Lloyd Wright Intermediate,West Allis,False
West Allis-West Milwaukee,Franklin Elementary,West Allis,False
West Allis-West Milwaukee,Hoover Elementary,suburban (inferred),False
West Allis-West Milwaukee,Horace Mann Elementary,West Allis,False
West Allis-West Milwaukee,Irving Elementary,West Allis,False
West Allis-West Milwaukee,James E Dottke Project-Based Learning High School,West Allis,False
West Allis-West Milwaukee,Jefferson Elementary,West Allis,False
West Allis-West Milwaukee,Lane Intermediate,West Allis,False
West Allis-West Milwaukee,Longfellow Elementary,West Allis,False
West Allis-West Milwaukee,Madison Elementary,West Allis,False
West Allis-West Milwaukee,Mitchell Elementary,West Allis,False
West Allis-West Milwaukee,Nathan Hale High,West Allis,False
West Allis-West Milwaukee,Pershing Elementary,West Milwaukee,False
West Allis-West Milwaukee,Shared Journeys,West Allis,False
West Allis-West Milwaukee,Walker Elementary,West Allis,False
West Allis-West Milwaukee,West Milwaukee Intermediate,West Milwaukee,False
West Allis-West Milwaukee,Wilson Elementary,West Allis,False
Whitefish Bay,Cumberland Elementary,Whitefish Bay,False
Whitefish Bay,Richards Elementary,Whitefish Bay,False
Whitefish Bay,Whitefish Bay High,Whitefish Bay,False
Whitefish Bay,Whitefish Bay Middle,Whitefish Bay,False
Whitnall,CORE4 Collaborating on Readiness Education for Four-Year-Olds,Greenfield,False
Whitnall,Edgerton Elementary,Hales Corners,False
Whitnall,Hales Corners Elementary,Hales Corners,False
Whitnall,Whitnall High,Greenfield,False
Whitnall,Whitnall Middle,Greenfield,False
Woodlands School,Woodlands School,Milwaukee,True
Woodlands School,Woodlands School - State Street Campus,Milwaukee (inferred),True
Woodlands School - State Street Campus,Woodlands School - State Street Campus,Milwaukee,True
