metric,dimension,group,district,school,year,value,share,status_flag
enrollment,Disability Status,SwD,Fox Point J2,Stormonth Elementary,2019-20,41.0,0.0909,
enrollment,Disability Status,SwoD,Fox Point J2,Stormonth Elementary,2019-20,410.0,0.9091,
enrollment,Disability Status,SwoD,Fox Point J2,Stormonth Elementary,2020-21,467.0,1.0,
enrollment,Disability Status,SwD,Fox Point J2,Stormonth Elementary,2021-22,56.0,0.1148,
enrollment,Disability Status,SwoD,Fox Point J2,Stormonth Elementary,2021-22,432.0,0.8852,
enrollment,Disability Status,SwD,Fox Point J2,Stormonth Elementary,2022-23,59.0,0.1216,
enrollment,Disability Status,SwoD,Fox Point J2,Stormonth Elementary,2022-23,426.0,0.8784,
enrollment,Disability Status,SwD,Fox Point J2,Stormonth Elementary,2023-24,63.0,0.131,
enrollment,Disability Status,SwoD,Fox Point J2,Stormonth Elementary,2023-24,418.0,0.869,
enrollment,Disability Status,SwD,Fox Point J2,Stormonth Elementary,2024-25,53.0,0.1121,
enrollment,Disability Status,SwoD,Fox Point J2,Stormonth Elementary,2024-25,420.0,0.8879,
enrollment,Disability Status,SwD,Franklin Public,Ben Franklin Elementary,2018-19,59.0,0.1603,
enrollment,Disability Status,SwoD,Franklin Public,Ben Franklin Elementary,2018-19,309.0,0.8397,
enrollment,Disability Status,SwD,Franklin Public,Ben Franklin Elementary,2019-20,46.0,0.1373,
enrollment,Disability Status,SwoD,Franklin Public,Ben Franklin Elementary,2019-20,289.0,0.8627,
enrollment,Disability Status,SwD,Franklin Public,Ben Franklin Elementary,2020-21,38.0,0.1254,
enrollment,Disability Status,SwoD,Franklin Public,Ben Franklin Elementary,2020-21,265.0,0.8746,
enrollment,Disability Status,SwD,Franklin Public,Ben Franklin Elementary,2021-22,44.0,0.1337,
enrollment,Disability Status,SwoD,Franklin Public,Ben Franklin Elementary,2021-22,285.0,0.8663,
enrollment,Disability Status,SwD,Franklin Public,Ben Franklin Elementary,2022-23,45.0,0.1355,
enrollment,Disability Status,SwoD,Franklin Public,Ben Franklin Elementary,2022-23,287.0,0.8645,
enrollment,Disability Status,SwD,Franklin Public,Ben Franklin Elementary,2023-24,49.0,0.1556,
enrollment,Disability Status,SwoD,Franklin Public,Ben Franklin Elementary,2023-24,266.0,0.8444,
enrollment,Disability Status,SwD,Franklin Public,Ben Franklin Elementary,2024-25,46.0,0.1494,
enrollment,Disability Status,SwoD,Franklin Public,Ben Franklin Elementary,2024-25,262.0,0.8506,
enrollment,Disability Status,SwD,Franklin Public,Country Dale Elementary,2018-19,45.0,0.0869,
enrollment,Disability Status,SwoD,Franklin Public,Country Dale Elementary,2018-19,473.0,0.9131,
