metric,category,unit,district,school,group,year,value,yoy_change,pct_change,status_flag,enrollment
discipline,expulsion,count,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2020-21,0.0,0.0,,Zero expulsions reported,273.0
discipline,expulsion,count,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2021-22,0.0,0.0,,Zero expulsions reported,254.0
discipline,expulsion,count,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2022-23,0.0,0.0,,"Authorizer/reporting changed to Woodlands School, 2022-23; Zero expulsions reported",257.0
discipline,expulsion,count,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2023-24,0.0,0.0,,Zero expulsions reported,198.0
discipline,expulsion,count,Woodlands School,Woodlands School - State Street Campus,Woodlands School - State Street Campus — All Students,2024-25,0.0,0.0,,Zero expulsions reported,175.0
discipline,all,rate,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2018-19,18.57,,,,797.0
discipline,all,rate,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2019-20,1.57,-17.0,-91.54550350026925,,700.0
discipline,all,rate,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2020-21,0.46,-1.11,-70.70063694267516,Small count (<10 removals) — rate imprecise,650.0
discipline,all,rate,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2021-22,3.89,3.43,745.6521739130435,,643.0
discipline,all,rate,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2022-23,0.0,-3.89,-100.0,Zero suspensions/expulsions reported,709.0
discipline,all,rate,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2023-24,0.0,0.0,,Zero suspensions/expulsions reported,722.0
discipline,all,rate,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2024-25,2.68,2.68,,,709.0
discipline,suspension,rate,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2018-19,18.57,,,,797.0
discipline,suspension,rate,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2019-20,1.57,-17.0,-91.54550350026925,,700.0
discipline,suspension,rate,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2020-21,0.46,-1.11,-70.70063694267516,Small count (<10 removals) — rate imprecise,650.0
discipline,suspension,rate,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2021-22,3.89,3.43,745.6521739130435,,643.0
discipline,suspension,rate,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2022-23,0.0,-3.89,-100.0,Zero out-of-school suspensions reported,709.0
discipline,suspension,rate,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2023-24,0.0,0.0,,Zero out-of-school suspensions reported,722.0
discipline,suspension,rate,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2024-25,2.68,2.68,,,709.0
discipline,expulsion,count,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2018-19,0.0,,,Zero expulsions reported,797.0
discipline,expulsion,count,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2019-20,0.0,0.0,,Zero expulsions reported,700.0
discipline,expulsion,count,Brown Deer,Brown Deer Elementary,Brown Deer Elementary — All Students,2020-21,0.0,0.0,,Zero expulsions reported,650.0
