metric,dimension,group,unit,district,school,year,cohort_class,value,ext_rate,ext_timeframe,diploma,cohort_count,gap_reason,status_flag
hs_completion,Disability Status,SwoD,pct,Milwaukee,Vincent Accelerated Academy,2017-18,2018,33.3333,61.9048,7-Year rate,9.0,27.0,,
hs_completion,Disability Status,SwD,pct,West Allis-West Milwaukee,West Allis-West Milwaukee Learning Center,2017-18,2018,58.3333,,,14.0,24.0,,
hs_completion,Disability Status,SwD,pct,West Allis-West Milwaukee,Shared Journeys,2017-18,2018,,,,,1.0,numerator_suppressed,Gapped: regular-diploma count suppressed by DPI — not zero
hs_completion,Disability Status,SwoD,pct,West Allis-West Milwaukee,Nathan Hale High,2017-18,2018,98.1982,98.494,7-Year rate,327.0,333.0,,
hs_completion,Disability Status,SwD,pct,West Allis-West Milwaukee,Nathan Hale High,2017-18,2018,80.0,93.9394,7-Year rate,28.0,35.0,,
hs_completion,Disability Status,SwoD,pct,West Allis-West Milwaukee,Central High,2017-18,2018,84.0376,87.8641,7-Year rate,179.0,213.0,,
hs_completion,Disability Status,SwD,pct,West Allis-West Milwaukee,Central High,2017-18,2018,85.3659,95.2381,7-Year rate,35.0,41.0,,
hs_completion,Disability Status,SwoD,pct,Wauwatosa,West High,2017-18,2018,96.0317,96.8504,7-Year rate,242.0,252.0,,
hs_completion,Disability Status,SwD,pct,Wauwatosa,West High,2017-18,2018,38.0952,58.8235,7-Year rate,8.0,21.0,,
hs_completion,Disability Status,SwoD,pct,Wauwatosa,Wauwatosa Virtual Academy,2017-18,2018,,,,,37.0,numerator_suppressed,Gapped: regular-diploma count suppressed by DPI — not zero
hs_completion,Disability Status,SwD,pct,Wauwatosa,Wauwatosa Virtual Academy,2017-18,2018,,,,,3.0,numerator_suppressed,Gapped: regular-diploma count suppressed by DPI — not zero
hs_completion,Disability Status,SwoD,pct,Wauwatosa,East High,2017-18,2018,96.2547,98.524,7-Year rate,257.0,267.0,,
hs_completion,Disability Status,SwoD,pct,West Allis-West Milwaukee,Shared Journeys,2017-18,2018,,100.0,7-Year rate,,8.0,numerator_suppressed,Gapped: regular-diploma count suppressed by DPI — not zero
hs_completion,Disability Status,SwD,pct,Milwaukee,Vincent Accelerated Academy,2017-18,2018,19.0476,46.1538,7-Year rate,4.0,21.0,,
hs_completion,Disability Status,SwoD,pct,Milwaukee,Transition High,2017-18,2018,45.8015,62.5767,7-Year rate,60.0,131.0,,
hs_completion,Disability Status,SwD,pct,Milwaukee,Transition High,2017-18,2018,33.3333,57.8947,7-Year rate,6.0,18.0,,
hs_completion,Disability Status,SwoD,pct,Milwaukee,Milwaukee High School of the Arts,2017-18,2018,90.5028,94.2529,7-Year rate,162.0,179.0,,
hs_completion,Disability Status,SwD,pct,Milwaukee,Milwaukee High School of the Arts,2017-18,2018,80.0,83.871,7-Year rate,24.0,30.0,,
hs_completion,Disability Status,SwoD,pct,Milwaukee,Milwaukee County Youth Education Center,2017-18,2018,3.8462,,,1.0,26.0,,
